,n,s,opt_val,MISDPtime,opt_val,MISDP15time,opt_val,MILPtime,opt_val,Gurobitime
0,13.0,4.0,2.9374789467117313,5.0,2.9374789467117313,5.0,2.9374789398974444,8.0,2.9374831723905164,0.0
1,13.0,5.0,3.4061549467897625,7.0,3.4061549467897625,7.0,3.4061549448544035,8.0,3.4061577284823183,3.0
2,13.0,6.0,3.7709595523461013,7.0,3.7709595523461013,7.0,3.7709594244357776,8.0,3.7709689785647487,1.0
3,13.0,7.0,3.996189644853302,4.0,3.996189644853302,4.0,3.996189490306726,8.0,3.9961950534716193,4.0
4,13.0,8.0,4.068607327249534,7.0,4.068607327249534,7.0,4.068606979472298,8.0,4.068611679351736,10.0
5,13.0,9.0,4.138646907082009,7.0,4.138646907082009,7.0,4.1386464902695925,8.0,4.138651888651191,10.0
6,13.0,10.0,4.172637661588203,3.0,4.172637661588203,3.0,4.172637141178402,8.0,4.172644297950736,5.0
