,n,s,gap(%),ttime,gap(%),rtime,gap(%),stime,gap(%),gtime,gap(%),ltime
0,13.0,4.0,1.5724353181317725,0.0,17.93291801916616,0.0,-1.2504263623023612e-06,0.0,6.856851182967095e-07,0.0,0.0,0.0
1,13.0,5.0,0.3228653765206285,0.0,15.663827279077935,0.0,-9.028347659360732e-07,0.0,-4.9353916058646774e-08,0.0,0.0,0.0
2,13.0,6.0,0.35445658529034446,0.0,17.317970455177207,0.0,-2.7331894963367113e-07,0.0,9.266315543187917e-07,0.0,0.0,0.0
3,13.0,7.0,0.08150036339201128,0.0,14.109473413910218,0.0,-1.5520534723250757e-06,0.0,4.973107407762386e-06,0.0,0.0,0.0
4,13.0,8.0,0.09332229967908158,0.0,4.508751806925485,0.0,14.398589104093162,0.0,-6.9990332811268705e-06,0.0,0.0,0.0
5,13.0,9.0,0.17454948492465402,0.0,9.412733544516746,0.0,2.5919568056871536,0.0,-4.509441540633857e-06,0.0,0.0,0.0
6,13.0,10.0,3.9004122129799654,0.0,11.48991608934844,0.0,1.3376547277862276,0.0,-2.664324321592397e-06,0.0,0.0,0.0
