,n,s,gap(%),ttime,gap(%),rtime,gap(%),stime,gap(%),gtime,gap(%),ltime
0,79.0,10.0,10.614770735030612,0.0,4.669061567909369,0.0,14.552987437030401,6.0,-6.627384455238613e-07,0.0,0.0,0.0
1,79.0,20.0,15.467530334747964,0.0,1.8337446451088453,1.0,13.925958672796096,6.0,3.461085960073136e-07,0.0,0.0,0.0
2,118.0,10.0,0.028853121046561035,0.0,29.53986320616378,1.0,2.058419062066442,44.0,2.6157002288602333,0.0,0.0,0.0
3,118.0,20.0,40.4129447601705,0.0,27.94693488941461,0.0,2.205029166365393,45.0,-1.4343573040412186e-06,0.0,0.0,0.0
4,500,10,2.8654581890641193,0,61.88271102371792,22,-,3600,6.720414731526955e-10,0,0.0,0
5,500,20,29.14235516824279,0,48.789883770694836,24,-,3600,0.009567702181176101,0,0.0,2
6,2000,10,2.5627817830373543,3,14.165980558027295,341,-,3600,1.2265531056113212e-05,1,0.0,6
7,2000,20,1.0709758802886906,3,19.895120608847368,356,-,3600,0.8265956213578409,2,0.0,67
