,n,s,gap(%),ttime,gap(%),rtime,gap(%),stime,gap(%),gtime,gap(%),ltime
0,13.0,5.0,5.674934727830517,0.0,0.18949855979085092,0.0,-1.4207266889053695e-07,0.0,2.8063437995037194e-06,0.0,0.0,0.0
1,13.0,10.0,5.935961644097528,0.0,0.4048101310776121,0.0,0.0024268074254683715,0.0,3.3236644569965985e-06,0.0,0.0,0.0
2,20.0,5.0,3.397902118572477e-06,0.0,0.06375112259877597,0.0,0.04130212591760741,0.0,2.441903153518521e-07,0.0,0.0,0.0
3,20.0,15.0,0.00047378742321073873,0.0,0.11915880357069694,0.0,0.0007871857257391338,0.0,1.093332771104584e-08,0.0,0.0,0.0
4,26.0,5.0,1.9889448145568631,0.0,-4.947839642581534e-06,0.0,5.6676826197431325,0.0,5.6332534489953895e-06,0.0,0.0,0.0
5,26.0,15.0,15.578879412599795,0.0,0.2967151113805099,0.0,0.5618227528515145,0.0,-4.430613904791711e-06,0.0,0.0,0.0
6,30.0,5.0,9.403655802643581e-08,0.0,1.0398229378419375,0.0,0.9056231264756366,0.0,6.289895116737429e-14,0.0,0.0,0.0
7,30.0,15.0,-7.376906995840898e-13,0.0,0.2688627181558772,0.0,2.144889690734849e-05,0.0,3.5052864667683995e-10,0.0,0.0,0.0
8,34.0,5.0,0.00019809450591981722,0.0,0.9353998282085271,0.0,0.7345656734011153,0.0,7.819079184148413e-10,0.0,0.0,0.0
9,34.0,15.0,1.3001706845825748e-05,0.0,1.6814780335277786,0.0,0.5685721700765357,0.0,-1.1036944644107734e-11,0.0,0.0,0.0
10,57.0,10.0,3.671250248319185e-08,0.0,0.16019699921416225,0.0,0.13038589549556012,1.0,-7.436158746272357e-12,0.0,0.0,0.0
11,57.0,20.0,2.358700311991875e-09,0.0,0.07988251210377144,0.0,0.017280317543604956,1.0,2.4625352044263977e-10,0.0,0.0,0.0
12,64.0,10.0,0.014469946166862554,0.0,19.466686291368237,0.0,1.8474129869366491,2.0,-1.0069129274538366e-08,0.0,0.0,0.0
13,64.0,20.0,0.002535199218606877,0.0,8.464073122022105,0.0,5.70646843899686,1.0,2.2443596714904408e-09,0.0,0.0,0.0
14,77.0,10.0,0.005226809192109131,0.0,9.647646161338033,1.0,-1.0723885191999957e-07,4.0,-9.367058196646938e-08,0.0,0.0,0.0
15,77.0,20.0,0.0010003215917337768,0.0,6.974890139963918,1.0,3.9900980647763755,6.0,-7.764633449081323e-09,0.0,0.0,0.0
16,90.0,10.0,0.00313291919856909,0.0,1.6026906509027077,1.0,5.650472875686413,20.0,3.7592799854059137e-06,0.0,0.0,0.0
17,90.0,20.0,1.427873668891015,0.0,1.62677509959517,1.0,0.2527846615433912,16.0,-1.4527213168680539e-06,0.0,0.0,0.0
18,128.0,10.0,0.012962024304467828,0.0,1.115622296716034,2.0,1.134271211132092,103.0,-4.839106645149181e-07,0.0,0.0,0.0
19,128.0,20.0,0.00016331143564488157,0.0,1.5443611328220603,2.0,3.6673659711992465e-05,79.0,4.867499453423727e-07,0.0,0.0,0.0
