,n,s,gap(%),rel8_time,gap(%),rel13_time,gap(%),rel16_time,gap(%),rel17_time
0,64,10,-,3600,88.50944203240137,85,-,3600,-,3600
1,64,20,-,3600,31.312455470478064,86,-,3600,-,3600
